bas_dd,sector_id,etf_n,etf_idx_bp,etf_ret_1d_bp,etf_shares_sum,etf_value_sum,breadth_up_bp,is_partial
20250311,alpha,2,10215,-60,1023000,200460000,100,false
20250312,alpha,2,10197,-18,1023500,200470000,1200,false
20250313,alpha,2,10221,24,1024000,200480000,2300,false
20250314,alpha,2,10288,66,1024500,200490000,3400,false
20250317,alpha,2,10257,-30,1025000,200500000,4500,false
20250318,alpha,2,10269,12,1025500,200510000,5600,false
20250319,alpha,2,10324,54,1026000,200520000,6700,false
20250320,alpha,2,10281,-42,1026500,200530000,7800,false
20250321,alpha,2,10281,0,1027000,200540000,8900,false
20250324,alpha,2,10324,42,1027500,200550000,10000,false
20250325,alpha,2,10268,-54,1028000,200560000,1000,false
20250326,alpha,2,10256,-12,1028500,200570000,2100,false
20250327,alpha,2,10287,30,1029000,200580000,3200,false
20250328,alpha,2,10361,72,1029500,200590000,4300,false
20250331,alpha,2,10336,-24,1030000,200600000,5400,false
20250401,alpha,2,10355,18,1030500,200610000,6500,false
20250402,alpha,2,10417,60,1031000,200620000,7600,false
20250403,alpha,2,10379,-36,1031500,200630000,8700,false
20250404,alpha,2,10385,6,1032000,200640000,9800,false
20250407,alpha,2,10435,48,1032500,200650000,800,false
20250408,alpha,2,10385,-48,1033000,200660000,1900,false
20250409,alpha,2,10379,-6,1033500,200670000,3000,false
20250410,alpha,2,10416,36,1034000,200680000,4100,false
20250411,alpha,2,10354,-60,1034500,200690000,5200,false
20250414,alpha,2,10335,-18,1035000,200700000,6300,false
20250415,alpha,2,10360,24,1035500,200710000,7400,false
20250416,alpha,2,10428,66,1036000,200720000,8500,false
20250417,alpha,2,10397,-30,1036500,200730000,9600,false
20250418,alpha,2,10409,12,1037000,200740000,600,false
20250421,alpha,2,10465,54,1037500,200750000,1700,false
20250422,alpha,2,10421,-42,1038000,200760000,2800,false
20250423,alpha,2,10421,0,1038500,200770000,3900,false
20250424,alpha,2,10465,42,1039000,200780000,5000,false
20250425,alpha,2,10408,-54,1039500,200790000,6100,false
20250428,alpha,2,10396,-12,1040000,200800000,7200,false
20250429,alpha,2,10427,30,1040500,200810000,8300,false
20250430,alpha,2,10502,72,1041000,200820000,9400,false
20250501,alpha,2,10477,-24,1041500,200830000,400,false
20250502,alpha,2,10496,18,1042000,200840000,1500,false
20250505,alpha,2,10559,60,1042500,200850000,2600,false
20250506,alpha,2,10521,-36,1043000,200860000,3700,false
20250507,alpha,2,10527,6,1043500,200870000,4800,false
20250508,alpha,2,10578,48,1044000,200880000,5900,false
20250509,alpha,2,10527,-48,1044500,200890000,7000,false
20250512,alpha,2,10521,-6,1045000,200900000,8100,false
20250513,alpha,2,10559,36,1045500,200910000,9200,false
20250514,alpha,2,10496,-60,1046000,200920000,200,false
20250515,alpha,2,10477,-18,1046500,200930000,1300,false
20250516,alpha,2,10502,24,1047000,200940000,2400,false
20250519,alpha,2,10571,66,1047500,200950000,3500,false
20250520,alpha,2,10539,-30,1048000,200960000,4600,false
20250521,alpha,2,10552,12,1048500,200970000,5700,false
20250522,alpha,2,10609,54,1049000,200980000,6800,false
20250523,alpha,2,10564,-42,1049500,200990000,7900,false
20250526,alpha,2,10564,0,1050000,201000000,9000,false
20250527,alpha,2,10608,42,1050500,201010000,0,false
20250528,alpha,2,10551,-54,1051000,201020000,1100,false
20250529,alpha,2,10538,-12,1051500,201030000,2200,false
20250530,alpha,2,10570,30,1052000,201040000,3300,false
20250602,alpha,2,10646,72,1052500,201050000,4400,false
20250603,alpha,2,10620,-24,1053000,201060000,5500,false
20250604,alpha,2,10639,18,1053500,201070000,6600,false
20250605,alpha,2,10703,60,1054000,201080000,7700,false
20250606,alpha,2,10664,-36,1054500,201090000,8800,false
20250609,alpha,2,10670,6,1055000,201100000,9900,false
20250610,alpha,2,10721,48,1055500,201110000,900,false
20250611,alpha,2,10670,-48,1056000,201120000,2000,false
20250612,alpha,2,10664,-6,1056500,201130000,3100,false
20250613,alpha,2,10702,36,1057000,201140000,4200,false
20250616,alpha,2,10638,-60,1057500,201150000,5300,false
20250617,alpha,2,10619,-18,1058000,201160000,6400,false
20250618,alpha,2,10644,24,1058500,201170000,7500,false
20250619,alpha,2,10714,66,1059000,201180000,8600,false
20250620,alpha,2,10682,-30,1059500,201190000,9700,false
20250623,alpha,2,10695,12,1060000,201200000,700,false
20250624,alpha,2,10753,54,1060500,201210000,1800,false
20250625,alpha,2,10708,-42,1061000,201220000,2900,false
20250626,alpha,2,10708,0,1061500,201230000,4000,false
20250627,alpha,2,10753,42,1062000,201240000,5100,false
20250630,alpha,2,10695,-54,1062500,201250000,6200,false
20250701,alpha,2,10682,-12,1063000,201260000,7300,false
20250702,alpha,2,10714,30,1063500,201270000,8400,false
20250703,alpha,2,10791,72,1064000,201280000,9500,false
20250704,alpha,2,10765,-24,1064500,201290000,500,false
20250707,alpha,2,10784,18,1065000,201300000,5000,false
20250708,alpha,2,10849,60,1065500,201310000,2700,false
20250709,alpha,2,10810,-36,1066000,201320000,3800,false
20250710,alpha,2,10816,6,1066500,201330000,4900,false
20250711,alpha,2,10868,48,1067000,201340000,6000,false
20250714,alpha,2,10816,-48,1067500,201350000,7100,false
20250715,alpha,2,10810,-6,1068000,201360000,8200,false
20250716,alpha,2,10849,36,1068500,201370000,9300,false
20250717,alpha,2,10784,-60,1069000,201380000,300,false
20250718,alpha,2,10765,-18,1069500,201390000,1400,false
20250721,alpha,2,10791,24,1070000,201400000,2500,false
20250722,alpha,2,10862,66,1070500,201410000,3600,false
20250723,alpha,2,10829,-30,1071000,201420000,4700,false
20250724,alpha,2,10842,12,1071500,201430000,5800,false
20250725,alpha,2,10901,54,1072000,201440000,6900,false
20250728,alpha,2,10855,-42,1072500,201450000,8000,false
20250729,alpha,2,10855,0,1073000,201460000,9100,false
20250730,alpha,2,10901,42,1073500,201470000,100,false
20250731,alpha,2,10842,-54,1074000,201480000,1200,false
20250801,alpha,2,10829,-12,1074500,201490000,2300,false
20250106,bravo,2,10021,21,1000000,50000000,1700,false
20250107,bravo,2,10105,84,1000620,50000000,2800,false
20250108,bravo,2,10044,-60,1001240,50000000,3900,false
20250109,bravo,2,10047,3,1001860,50000000,5000,false
20250110,bravo,2,10113,66,1002480,50000000,6100,false
20250113,bravo,2,10034,-78,1003100,50000000,7200,false
20250114,bravo,2,10019,-15,1003720,50000000,8300,false
20250115,bravo,2,10067,48,1004340,50000000,9400,false
20250116,bravo,2,9970,-96,1004960,50000000,400,false
20250117,bravo,2,9937,-33,1005580,50000000,1500,false
20250120,bravo,2,9967,30,1006200,50000000,2600,false
20250121,bravo,2,10060,93,1006820,50000000,3700,false
20250122,bravo,2,10009,-51,1007440,50000000,4800,false
20250123,bravo,2,10021,12,1008060,50000000,5900,false
20250124,bravo,2,10096,75,1008680,50000000,7000,false
20250127,bravo,2,10026,-69,1009300,50000000,8100,false
20250128,bravo,2,10020,-6,1009920,50000000,9200,false
20250129,bravo,2,10077,57,1010540,50000000,200,false
20250130,bravo,2,9989,-87,1011160,50000000,1300,false
20250131,bravo,2,9965,-24,1011780,50000000,2400,false
20250203,bravo,2,10004,39,1012400,50000000,3500,false
20250204,bravo,2,10106,102,1013020,50000000,4600,false
20250205,bravo,2,10064,-42,1013640,50000000,5700,false
20250206,bravo,2,10085,21,1014260,50000000,6800,false
20250207,bravo,2,10170,84,1014880,50000000,7900,false
20250210,bravo,2,10109,-60,1015500,50000000,9000,false
20250211,bravo,2,10112,3,1016120,50000000,0,false
20250212,bravo,2,10179,66,1016740,50000000,1100,false
20250213,bravo,2,10100,-78,1017360,50000000,2200,false
20250214,bravo,2,10085,-15,1017980,50000000,3300,false
20250217,bravo,2,10133,48,1018600,50000000,4400,false
20250218,bravo,2,10036,-96,1019220,50000000,5500,false
20250219,bravo,2,10003,-33,1019840,50000000,6600,false
20250220,bravo,2,10033,30,1020460,50000000,7700,false
20250221,bravo,2,10126,93,1021080,50000000,8800,false
20250224,bravo,2,10074,-51,1021700,50000000,9900,false
20250225,bravo,2,10086,12,1022320,50000000,900,false
20250226,bravo,2,10162,75,1022940,50000000,2000,false
20250227,bravo,2,10092,-69,1023560,50000000,3100,false
20250228,bravo,2,10086,-6,1024180,50000000,4200,false
20250303,bravo,2,10143,57,1024800,50000000,5300,false
20250304,bravo,2,10055,-87,1025420,50000000,6400,false
20250305,bravo,2,10031,-24,1026040,50000000,7500,false
20250306,bravo,2,10070,39,1026660,50000000,8600,false
20250307,bravo,2,10173,102,1027280,50000000,9700,false
20250310,bravo,2,10130,-42,1027900,50000000,700,false
20250311,bravo,2,10151,21,1028520,50000000,1800,false
20250312,bravo,2,10236,84,1029140,50000000,2900,false
20250313,bravo,2,10175,-60,1029760,50000000,4000,false
20250314,bravo,2,10178,3,1030380,50000000,5100,false
20250317,bravo,2,10245,66,1031000,50000000,6200,false
20250318,bravo,2,10165,-78,1031620,50000000,7300,false
20250319,bravo,2,10150,-15,1032240,50000000,8400,false
20250320,bravo,2,10199,48,1032860,50000000,9500,false
20250321,bravo,2,10101,-96,1033480,50000000,500,false
20250324,bravo,2,10068,-33,1034100,50000000,1600,false
20250325,bravo,2,10098,30,1034720,50000000,2700,false
20250326,bravo,2,10192,93,1035340,50000000,3800,false
20250327,bravo,2,10140,-51,1035960,50000000,4900,false
20250328,bravo,2,10152,12,1036580,50000000,6000,false
20250331,bravo,2,10228,75,1037200,50000000,7100,false
20250401,bravo,2,10157,-69,1037820,50000000,8200,false
20250402,bravo,2,10151,-6,1038440,50000000,9300,false
20250403,bravo,2,10209,57,1039060,50000000,300,false
20250404,bravo,2,10120,-87,1039680,50000000,1400,false
20250407,bravo,2,10096,-24,1040300,50000000,2500,false
20250408,bravo,2,10135,39,1040920,50000000,3600,false
20250409,bravo,2,10238,102,1041540,50000000,4700,false
20250410,bravo,2,10195,-42,1042160,50000000,5800,false
20250411,bravo,2,10216,21,1042780,50000000,6900,false
20250414,bravo,2,10302,84,1043400,50000000,8000,false
20250415,bravo,2,10240,-60,1044020,50000000,9100,false
20250416,bravo,2,10243,3,1044640,50000000,100,false
20250417,bravo,2,10311,66,1045260,50000000,1200,false
20250418,bravo,2,10231,-78,1045880,50000000,2300,false
20250421,bravo,2,10216,-15,1046500,50000000,3400,false
20250422,bravo,2,10265,48,1047120,50000000,4500,false
20250423,bravo,2,10166,-96,1047740,50000000,5600,false
20250424,bravo,2,10132,-33,1048360,50000000,6700,false
20250425,bravo,2,10162,30,1048980,50000000,7800,false
20250428,bravo,2,10257,93,1049600,50000000,8900,false
20250429,bravo,2,10205,-51,1050220,50000000,10000,false
20250430,bravo,2,10217,12,1050840,50000000,1000,false
20250501,bravo,2,10294,75,1051460,50000000,2100,false
20250502,bravo,2,10223,-69,1052080,50000000,3200,false
20250505,bravo,2,10217,-6,1052700,50000000,4300,false
20250506,bravo,2,10275,57,1053320,50000000,5400,false
20250507,bravo,2,10186,-87,1053940,50000000,6500,false
20250508,bravo,2,10162,-24,1054560,50000000,7600,false
20250509,bravo,2,10202,39,1055180,50000000,8700,false
20250512,bravo,2,10306,102,1055800,50000000,9800,false
20250513,bravo,2,10263,-42,1056420,50000000,800,false
20250514,bravo,2,10285,21,1057040,50000000,1900,false
20250515,bravo,2,10371,84,1057660,50000000,3000,false
20250516,bravo,2,10309,-60,1058280,50000000,4100,false
20250519,bravo,2,10312,3,1058900,50000000,5200,false
20250520,bravo,2,10380,66,1059520,50000000,6300,false
20250521,bravo,2,10299,-78,1060140,50000000,7400,false
20250522,bravo,2,10284,-15,1060760,50000000,8500,false
20250523,bravo,2,10333,48,1061380,50000000,9600,false
20250526,bravo,2,10234,-96,1062000,50000000,600,false
20250527,bravo,2,10200,-33,1062620,50000000,1700,false
20250528,bravo,2,10231,30,1063240,50000000,2800,false
20250529,bravo,2,10326,93,1063860,50000000,3900,false
20250530,bravo,2,10273,-51,1064480,50000000,5000,false
20250602,bravo,2,10285,12,1065100,50000000,6100,false
20250603,bravo,2,10362,75,1065720,50000000,7200,false
20250604,bravo,2,10291,-69,1066340,50000000,8300,false
20250605,bravo,2,10285,-6,1066960,50000000,9400,false
20250606,bravo,2,10344,57,1067580,50000000,400,false
20250609,bravo,2,10254,-87,1068200,50000000,1500,false
20250610,bravo,2,10229,-24,1068820,50000000,2600,false
20250611,bravo,2,10269,39,1069440,50000000,3700,false
20250612,bravo,2,10374,102,1070060,50000000,4800,false
20250613,bravo,2,10330,-42,1070680,50000000,5900,false
20250616,bravo,2,10352,21,1071300,50000000,7000,false
20250617,bravo,2,10439,84,1071920,50000000,8100,false
20250618,bravo,2,10376,-60,1072540,50000000,9200,false
20250619,bravo,2,10379,3,1073160,50000000,200,false
20250620,bravo,2,10448,66,1073780,50000000,1300,false
20250623,bravo,2,10367,-78,1074400,50000000,2400,false
20250624,bravo,2,10351,-15,1075020,50000000,3500,false
20250625,bravo,2,10401,48,1075640,50000000,4600,false
20250626,bravo,2,10301,-96,1076260,50000000,5700,false
20250627,bravo,2,10267,-33,1076880,50000000,6800,false
20250630,bravo,2,10298,30,1077500,50000000,7900,false
20250701,bravo,2,10394,93,1078120,50000000,9000,false
20250702,bravo,2,10341,-51,1078740,50000000,0,false
20250703,bravo,2,10353,12,1079360,50000000,1100,false
20250704,bravo,2,10431,75,1079980,50000000,2200,false
20250707,bravo,2,10359,-69,1080600,50000000,5000,false
20250708,bravo,2,10353,-6,1081220,50000000,4400,false
20250709,bravo,2,10412,57,1081840,50000000,5500,false
20250710,bravo,2,10321,-87,1082460,50000000,6600,false
20250711,bravo,2,10296,-24,1083080,50000000,7700,false
20250714,bravo,2,10336,39,1083700,50000000,8800,false
20250715,bravo,2,10441,102,1084320,50000000,9900,false
20250716,bravo,2,10397,-42,1084940,50000000,900,false
20250717,bravo,2,10419,21,1085560,50000000,2000,false
20250718,bravo,2,10507,84,1086180,50000000,3100,false
20250721,bravo,2,10444,-60,1086800,50000000,4200,false
20250722,bravo,2,10447,3,1087420,50000000,5300,false
20250723,bravo,2,10516,66,1088040,50000000,6400,false
20250724,bravo,2,10434,-78,1088660,50000000,7500,false
20250725,bravo,2,10418,-15,1089280,50000000,8600,false
20250728,bravo,2,10468,48,1089900,50000000,9700,false
20250729,bravo,2,10368,-96,1090520,50000000,700,false
20250730,bravo,2,10334,-33,1091140,50000000,1800,false
20250731,bravo,2,10365,30,1091760,50000000,2900,false
20250801,bravo,2,10461,93,1092380,50000000,4000,false
20250106,charlie,2,9904,-96,1000000,200000000,3400,false
20250107,charlie,2,9892,-12,1000740,200010000,4500,false
20250108,charlie,2,9963,72,1001480,200020000,5600,false
20250109,charlie,2,9843,-120,1002220,200030000,6700,false
20250110,charlie,2,9808,-36,1002960,200040000,7800,false
20250113,charlie,2,9855,48,1003700,200050000,8900,false
20250114,charlie,2,9985,132,1004440,200060000,10000,false
20250115,charlie,2,9925,-60,1005180,200070000,1000,false
20250116,charlie,2,9949,24,1005920,200080000,2100,false
20250117,charlie,2,10056,108,1006660,200090000,3200,false
20250120,charlie,2,9972,-84,1007400,200100000,4300,false
20250121,charlie,2,9972,0,1008140,200110000,5400,false
20250122,charlie,2,10056,84,1008880,200120000,6500,false
20250123,charlie,2,9947,-108,1009620,200130000,7600,false
20250124,charlie,2,9923,-24,1010360,200140000,8700,false
20250127,charlie,2,9983,60,1011100,200150000,9800,false
20250128,charlie,2,9851,-132,1011840,200160000,800,false
20250129,charlie,2,9804,-48,1012580,200170000,1900,false
20250130,charlie,2,9839,36,1013320,200180000,3000,false
20250131,charlie,2,9957,120,1014060,200190000,4100,false
20250203,charlie,2,9885,-72,1014800,200200000,5200,false
20250204,charlie,2,9897,12,1015540,200210000,6300,false
20250205,charlie,2,9992,96,1016280,200220000,7400,false
20250206,charlie,2,9896,-96,1017020,200230000,8500,false
20250207,charlie,2,9884,-12,1017760,200240000,9600,false
20250210,charlie,2,9955,72,1018500,200250000,600,false
20250211,charlie,2,9836,-120,1019240,200260000,1700,false
20250212,charlie,2,9801,-36,1019980,200270000,2800,false
20250213,charlie,2,9848,48,1020720,200280000,3900,false
20250214,charlie,2,9978,132,1021460,200290000,5000,false
20250217,charlie,2,9918,-60,1022200,200300000,6100,false
20250218,charlie,2,9942,24,1022940,200310000,7200,false
20250219,charlie,2,10049,108,1023680,200320000,8300,false
20250220,charlie,2,9965,-84,1024420,200330000,9400,false
20250221,charlie,2,9965,0,1025160,200340000,400,false
20250224,charlie,2,10049,84,1025900,200350000,1500,false
20250225,charlie,2,9940,-108,1026640,200360000,2600,false
20250226,charlie,2,9916,-24,1027380,200370000,3700,false
20250227,charlie,2,9975,60,1028120,200380000,4800,false
20250228,charlie,2,9843,-132,1028860,200390000,5900,false
20250303,charlie,2,9796,-48,1029600,200400000,7000,false
20250304,charlie,2,9831,36,1030340,200410000,8100,false
20250305,charlie,2,9949,120,1031080,200420000,9200,false
20250306,charlie,2,9877,-72,1031820,200430000,200,false
20250307,charlie,2,9889,12,1032560,200440000,1300,false
20250310,charlie,2,9984,96,1033300,200450000,2400,false
20250311,charlie,2,9888,-96,1034040,200460000,3500,false
20250312,charlie,2,9876,-12,1034780,200470000,4600,false
20250313,charlie,2,9947,72,1035520,200480000,5700,false
20250314,charlie,2,9828,-120,1036260,200490000,6800,false
20250317,charlie,2,9793,-36,1037000,200500000,7900,false
20250318,charlie,2,9840,48,1037740,200510000,9000,false
20250319,charlie,2,9970,132,1038480,200520000,0,false
20250320,charlie,2,9910,-60,1039220,200530000,1100,false
20250321,charlie,2,9934,24,1039960,200540000,2200,false
20250324,charlie,2,10041,108,1040700,200550000,3300,false
20250325,charlie,2,9957,-84,1041440,200560000,4400,false
20250326,charlie,2,9957,0,1042180,200570000,5500,false
20250327,charlie,2,10041,84,1042920,200580000,6600,false
20250328,charlie,2,9933,-108,1043660,200590000,7700,false
20250331,charlie,2,9933,,1044400,200600000,8800,true
20250401,charlie,2,9933,,1045140,200610000,9900,true
20250402,charlie,2,9933,,1045880,200620000,900,true
20250403,charlie,2,9885,-48,1046620,200630000,2000,false
20250404,charlie,2,9921,36,1047360,200640000,3100,false
20250407,charlie,2,10040,120,1048100,200650000,4200,false
20250408,charlie,2,9968,-72,1048840,200660000,5300,false
20250409,charlie,2,9980,12,1049580,200670000,6400,false
20250410,charlie,2,10076,96,1050320,200680000,7500,false
20250411,charlie,2,9979,-96,1051060,200690000,8600,false
20250414,charlie,2,9967,-12,1051800,200700000,9700,false
20250415,charlie,2,10039,72,1052540,200710000,700,false
20250416,charlie,2,9919,-120,1053280,200720000,1800,false
20250417,charlie,2,9883,-36,1054020,200730000,2900,false
20250418,charlie,2,9930,48,1054760,200740000,4000,false
20250421,charlie,2,10061,132,1055500,200750000,5100,false
20250422,charlie,2,10001,-60,1056240,200760000,6200,false
20250423,charlie,2,10025,24,1056980,200770000,7300,false
20250424,charlie,2,10133,108,1057720,200780000,8400,false
20250425,charlie,2,10048,-84,1058460,200790000,9500,false
20250428,charlie,2,10048,0,1059200,200800000,500,false
20250429,charlie,2,10132,84,1059940,200810000,1600,false
20250430,charlie,2,10023,-108,1060680,200820000,2700,false
20250501,charlie,2,9999,-24,1061420,200830000,3800,false
20250502,charlie,2,10059,60,1062160,200840000,4900,false
20250505,charlie,2,9926,-132,1062900,200850000,6000,false
20250506,charlie,2,9878,-48,1063640,200860000,7100,false
20250507,charlie,2,9914,36,1064380,200870000,8200,false
20250508,charlie,2,10033,120,1065120,200880000,9300,false
20250509,charlie,2,9961,-72,1065860,200890000,300,false
20250512,charlie,2,9973,12,1066600,200900000,1400,false
20250513,charlie,2,10069,96,1067340,200910000,2500,false
20250514,charlie,2,9972,-96,1068080,200920000,3600,false
20250515,charlie,2,9960,-12,1068820,200930000,4700,false
20250516,charlie,2,10032,72,1069560,200940000,5800,false
20250519,charlie,2,9912,-120,1070300,200950000,6900,false
20250520,charlie,2,9876,-36,1071040,200960000,8000,false
20250521,charlie,2,9923,48,1071780,200970000,9100,false
20250522,charlie,2,10054,132,1072520,200980000,100,false
20250523,charlie,2,9994,-60,1073260,200990000,1200,false
20250526,charlie,2,10018,24,1074000,201000000,2300,false
20250527,charlie,2,10126,108,1074740,201010000,3400,false
20250528,charlie,2,10041,-84,1075480,201020000,4500,false
20250529,charlie,2,10041,0,1076220,201030000,5600,false
20250530,charlie,2,10125,84,1076960,201040000,6700,false
20250602,charlie,2,10016,-108,1077700,201050000,7800,false
20250603,charlie,2,9992,-24,1078440,201060000,8900,false
20250604,charlie,2,10052,60,1079180,201070000,10000,false
20250605,charlie,2,9919,-132,1079920,201080000,1000,false
20250606,charlie,2,9871,-48,1080660,201090000,2100,false
20250609,charlie,2,9907,36,1081400,201100000,3200,false
20250610,charlie,2,10026,120,1082140,201110000,4300,false
20250611,charlie,2,9954,-72,1082880,201120000,5400,false
20250612,charlie,2,9966,12,1083620,201130000,6500,false
20250613,charlie,2,10062,96,1084360,201140000,7600,false
20250616,charlie,2,9965,-96,1085100,201150000,8700,false
20250617,charlie,2,9953,-12,1085840,201160000,9800,false
20250618,charlie,2,10025,72,1086580,201170000,800,false
20250619,charlie,2,9905,-120,1087320,201180000,1900,false
20250620,charlie,2,9869,-36,1088060,201190000,3000,false
20250623,charlie,2,9916,48,1088800,201200000,4100,false
20250624,charlie,2,10047,132,1089540,201210000,5200,false
20250625,charlie,2,9987,-60,1090280,201220000,6300,false
20250626,charlie,2,10011,24,1091020,201230000,7400,false
20250627,charlie,2,10119,108,1091760,201240000,8500,false
20250630,charlie,2,10034,-84,1092500,201250000,9600,false
20250701,charlie,2,10034,0,1093240,201260000,600,false
20250702,charlie,2,10118,84,1093980,201270000,1700,false
20250703,charlie,2,10009,-108,1094720,201280000,2800,false
20250704,charlie,2,9985,-24,1095460,201290000,3900,false
20250707,charlie,2,10045,60,1096200,201300000,5000,false
20250708,charlie,2,9912,-132,1096940,201310000,6100,false
20250709,charlie,2,9864,-48,1097680,201320000,7200,false
20250710,charlie,2,9900,36,1098420,201330000,8300,false
20250711,charlie,2,10019,120,1099160,201340000,9400,false
20250714,charlie,2,9947,-72,1099900,201350000,400,false
20250715,charlie,2,9959,12,1100640,201360000,1500,false
20250716,charlie,2,10055,96,1101380,201370000,2600,false
20250717,charlie,2,9958,-96,1102120,201380000,3700,false
20250718,charlie,2,9946,-12,1102860,201390000,4800,false
20250721,charlie,2,10018,72,1103600,201400000,5900,false
20250722,charlie,2,9898,-120,1104340,201410000,7000,false
20250723,charlie,2,9862,-36,1105080,201420000,8100,false
20250724,charlie,2,9909,48,1105820,201430000,9200,false
20250725,charlie,2,10040,132,1106560,201440000,200,false
20250728,charlie,2,9980,-60,1107300,201450000,1300,false
20250729,charlie,2,10004,24,1108040,201460000,2400,false
20250730,charlie,2,10112,108,1108780,201470000,3500,false
20250731,charlie,2,10027,-84,1109520,201480000,4600,false
20250801,charlie,2,10027,0,1110260,201490000,5700,false
20250106,delta,1,10072,72,1000000,200000000,5100,false
20250107,delta,1,9903,-168,1000860,200010000,6200,false
20250108,delta,1,9841,-63,1001720,200020000,7300,false
20250109,delta,1,9882,42,1002580,200030000,8400,false
20250110,delta,1,10027,147,1003440,200040000,9500,false
20250113,delta,1,9934,-93,1004300,200050000,500,false
20250114,delta,1,9946,12,1005160,200060000,1600,false
20250115,delta,1,10062,117,1006020,200070000,2700,false
20250116,delta,1,9938,-123,1006880,200080000,3800,false
20250117,delta,1,9920,-18,1007740,200090000,4900,false
20250120,delta,1,10006,87,1008600,200100000,6000,false
20250121,delta,1,9853,-153,1009460,200110000,7100,false
20250122,delta,1,9806,-48,1010320,200120000,8200,false
20250123,delta,1,9862,57,1011180,200130000,9300,false
20250124,delta,1,10022,162,1012040,200140000,300,false
20250127,delta,1,9944,-78,1012900,200150000,1400,false
20250128,delta,1,9971,27,1013760,200160000,2500,false
20250129,delta,1,10103,132,1014620,200170000,3600,false
20250130,delta,1,9994,-108,1015480,200180000,4700,false
20250131,delta,1,9991,-3,1016340,200190000,5800,false
20250203,delta,1,10093,102,1017200,200200000,6900,false
20250204,delta,1,9954,-138,1018060,200210000,8000,false
20250205,delta,1,9921,-33,1018920,200220000,9100,false
20250206,delta,1,9992,72,1019780,200230000,100,false
20250207,delta,1,9824,-168,1020640,200240000,1200,false
20250210,delta,1,9762,-63,1021500,200250000,2300,false
20250211,delta,1,9803,42,1022360,200260000,3400,false
20250212,delta,1,9947,147,1023220,200270000,4500,false
20250213,delta,1,9854,-93,1024080,200280000,5600,false
20250214,delta,1,9866,12,1024940,200290000,6700,false
20250217,delta,1,9981,117,1025800,200300000,7800,false
20250218,delta,1,9858,-123,1026660,200310000,8900,false
20250219,delta,1,9840,-18,1027520,200320000,10000,false
20250220,delta,1,9926,87,1028380,200330000,1000,false
20250221,delta,1,9774,-153,1029240,200340000,2100,false
20250224,delta,1,9727,-48,1030100,200350000,3200,false
20250225,delta,1,9782,57,1030960,200360000,4300,false
20250226,delta,1,9940,162,1031820,200370000,5400,false
20250227,delta,1,9862,-78,1032680,200380000,6500,false
20250228,delta,1,9889,27,1033540,200390000,7600,false
